City_ID,Unnamed: 0,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,3,Kamaishi,JP,69.4,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
1,17,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,18,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
3,21,Tebingtinggi,ID,74.84,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
4,28,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
5,39,Moundou,TD,74.59,broken clouds,8.5667,16.0833,Planete Life
6,51,Rikitea,PF,74.59,light rain,-23.1203,-134.9692,People ThankYou
7,53,Pangkalanbuun,ID,72.43,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
8,54,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
9,63,Sao Filipe,CV,73.99,broken clouds,14.8961,-24.4956,Hotel Xaguate
10,67,Lagoa,PT,66.11,scattered clouds,39.05,-27.9833,Casa Das Faias
11,72,Carnarvon,AU,65.71,clear sky,-24.8667,113.6333,Hospitality Carnarvon
12,74,Port-Gentil,GA,71.56,light rain,-0.7193,8.7815,Fengshui Residence
13,85,Katsuura,JP,72.12,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
14,97,Yelizovo,RU,66.11,clear sky,53.1873,158.3805,Kamchatskiy Stil' Hostel
15,98,Bengkulu,ID,74.05,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
16,105,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
17,108,Nabire,ID,74.48,broken clouds,-3.3667,135.4833,Hotel Nusantara I
19,113,Boshan,CN,74.91,broken clouds,36.4833,117.8333,Tianfu Hotel
20,114,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,121,La Ronge,CA,70.02,broken clouds,55.1001,-105.2842,Northland Motor Hotel
22,122,College,US,74.21,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
23,123,Hearst,CA,71.13,clear sky,49.6835,-83.6665,Companion
24,129,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
25,132,Teahupoo,PF,74.53,clear sky,-17.8333,-149.2667,Vanira Lodge
26,134,Caravelas,BR,72.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
27,136,Halifax,CA,69.69,overcast clouds,44.6453,-63.5724,Hotel Halifax
28,139,Fortuna,US,72.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
29,146,Kuppam,IN,71.8,overcast clouds,12.75,78.3667,Manjunatha Residency Hotel
30,147,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
31,148,Castro,BR,66.06,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
32,152,Margate,GB,70.88,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
33,154,Ambilobe,MG,66.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
34,156,Northam,GB,65.61,clear sky,51.0333,-4.2167,Durrant House Hotel
35,157,Torbay,CA,66.27,broken clouds,47.6666,-52.7314,Gallows Cove
36,161,Tomiya,JP,68.76,overcast clouds,38.3931,140.8861,Hotel Route Inn Sendai Izumi Inter
37,165,Imbituba,BR,67.08,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
38,168,Ayame,CI,73.51,overcast clouds,5.6083,-3.1563,Hotel Bossan
39,173,Isiro,CD,70.48,overcast clouds,2.7739,27.616,Guest House Hewa Bora
40,175,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,179,Grand Gaube,MU,68.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
42,185,Fort Saint James,CA,68.16,broken clouds,54.4333,-124.25,The View Hotel
43,186,Kuala Terengganu,MY,73.35,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
44,189,Tibati,CM,67.73,overcast clouds,6.4667,12.6333,Tibati Hotel
45,191,Touba,CI,72.23,moderate rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
46,192,Antalaha,MG,67.8,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
47,195,Fort Nelson,CA,69.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
49,200,Kutoarjo,ID,70.88,clear sky,-7.7169,109.9128,Massagus Hotel
50,202,Saint-Francois,FR,74.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
51,231,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
52,233,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
53,234,Marinette,US,71.65,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
56,240,Paita,PE,69.82,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
57,242,Aklavik,CA,69.8,broken clouds,68.2191,-135.0107,Aklavik Inn
58,255,Pyu,MM,74.41,overcast clouds,18.4833,96.4333,Mr Bo Bo
59,256,Flin Flon,CA,69.64,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
60,262,Banjar,ID,71.51,few clouds,-8.19,114.9675,The Hamsa Resort
61,268,Shingu,JP,73.53,overcast clouds,33.7333,135.9833,Shingu UI Hotel
62,270,Esfarayen,IR,73.06,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
63,271,Angoche,MZ,71.89,clear sky,-16.2325,39.9086,Guest House HESADA
64,279,Takestan,IR,73.53,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
65,291,Peace River,CA,73.71,broken clouds,56.2501,-117.286,BCMInns - Peace River
66,293,Pangody,RU,67.48,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
67,295,Martapura,ID,73.49,broken clouds,-3.4167,114.85,Montana Hotel Syariah
68,309,Mae Hong Son,TH,73.49,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
69,343,Bidar,IN,71.58,moderate rain,17.9,77.55,Kaveri Hotel
72,351,Desna,UA,68.86,broken clouds,50.9273,30.7605,Log cabin
73,355,Dondo,MZ,67.51,clear sky,-19.6094,34.7431,Pensao Casual
74,356,Namibe,AO,65.5,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
75,363,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
76,367,Arnsberg,DE,68.25,overcast clouds,51.3297,8.0071,Sunderland Hotel
77,368,Chimbote,PE,67.1,clear sky,-9.0853,-78.5783,Hotel Briliá
78,370,Saint-Joseph,RE,68.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
79,376,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
80,380,Penzance,GB,66.88,clear sky,50.1186,-5.5371,Artist Residence Penzance
81,381,Ponta Delgada,PT,70.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
82,382,Pidhorodne,UA,73.89,few clouds,48.5753,35.1068,Комфорт
84,389,Morondava,MG,68.9,clear sky,-20.2833,44.2833,La Case Bambou
85,396,Perdoes,BR,72.3,clear sky,-21.0908,-45.0914,Talismã Motel
86,397,Luanda,AO,68.36,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
88,403,Puerto Leguizamo,CO,74.34,overcast clouds,-0.1934,-74.7819,la casona de juancho
89,421,Shimoda,JP,71.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
90,426,Sulina,RO,68.7,clear sky,45.1559,29.6536,Hotel Delta Est
92,439,Aguimes,ES,72.23,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
93,443,Labuhan,ID,73.63,clear sky,-6.8844,112.2051,DoubleFAG
94,458,Telemaco Borba,BR,68.34,overcast clouds,-24.3239,-50.6156,Vespasiano Hotel Telêmaco Borba
95,464,Yongan,CN,67.68,clear sky,39.6957,113.6871,Beiyue International Hotel
96,466,Praia Da Vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
97,468,Omboue,GA,72.48,overcast clouds,-1.5746,9.2618,Hotel Olako
98,474,Quelimane,MZ,69.75,few clouds,-17.8786,36.8883,Hotel Flamingo
99,476,Aljezur,PT,72.28,clear sky,37.3191,-8.8033,Amazigh Hostel
101,479,Bambanglipuro,ID,71.73,clear sky,-7.95,110.2833,Puri Brata
102,486,Kimbe,PG,74.25,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
103,497,Palora,EC,68.11,light rain,-1.7,-77.9333,Rancho grande
104,499,Jawhar,SO,72.97,broken clouds,2.7809,45.5005,Hotel Shabelle
105,501,Hualmay,PE,66.47,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
106,508,Dharchula,IN,74.82,moderate rain,29.85,80.5333,Mahara Hotel
107,509,Alyangula,AU,68.86,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
109,514,Lasa,IT,68.88,clear sky,46.6166,10.7002,Pension Feldgärtenhof
110,536,Bima,ID,70.97,overcast clouds,-8.4667,118.7167,Lambitu Hotel
111,540,Lashio,MM,67.82,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
112,541,Sainte-Suzanne,RE,70.02,scattered clouds,-20.9061,55.6089,Gites Ango
113,550,Si Sa Ket,TH,74.91,moderate rain,14.8333,104.3333,ร้านค้า อัญชัน
114,556,High Level,CA,69.91,light rain,58.5169,-117.136,Days Inn by Wyndham High Level
115,559,Olga,RU,65.39,moderate rain,43.7444,135.2892,Gostinitsa Rosmorport.
116,575,Vao,NC,74.3,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
117,590,Faya,SA,66.31,light rain,18.3851,42.4509,املاك خالد الشعشوع
118,595,Mae Sai,TH,72.99,light rain,20.4335,99.8762,Piyaporn Hill Paradise Hotel
119,598,Kitob,UZ,73.31,clear sky,39.0843,66.8332,KESH HOTEL
120,601,Foldeak,HU,70.12,overcast clouds,46.3167,20.5,Földeáki Dózsa Vadásztársaság
121,603,Zhezkazgan,KZ,68.34,overcast clouds,47.8043,67.7144,Hotel Zumrat
122,609,Serdobsk,RU,71.22,overcast clouds,52.4586,44.2169,Serdobsk
123,613,Wakefield,GB,69.26,scattered clouds,53.6809,-1.499,Hotel Restaurant Campanile Wakefield
124,619,Soverato,IT,71.55,clear sky,38.685,16.5499,Hotel San Domenico
125,620,Formiga,BR,72.3,clear sky,-20.4644,-45.4264,Victor Plaza Hotel
126,636,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
127,641,Amarkantak,IN,72.0,scattered clouds,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
128,645,Ambunti,PG,71.98,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
129,646,San Quintin,MX,74.35,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
130,647,Ilo,PE,65.26,clear sky,-17.6394,-71.3375,Torreblanca Hotel
131,650,Sierre,CH,72.95,clear sky,46.2919,7.5356,Hotel Casino
132,662,Preobrazheniye,RU,65.55,light rain,42.9019,133.9064,Campsite Orlan
133,663,Yatou,CN,74.01,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
